step	slot_id	agent_id	is_temporary
1	CQ1	ISS00	False
1	CQ2	ISS01	False
1	CQ3	ISS02	False
1	CQ4	ISS03	False
1	CQ5	ISS04	False
1	CQ6	ISS05	False
1	CQ7	ISS06	False
1	Kibo	ISS08	True
1	Dragon	ISS09	True
1	Airlock	ISS07	True
2	CQ1	ISS00	False
2	CQ2	ISS01	False
2	CQ3	ISS02	False
2	CQ4	ISS03	False
2	CQ5	ISS04	False
2	CQ6	ISS05	False
2	CQ7	ISS06	False
2	Kibo	ISS09	True
2	Dragon	ISS07	True
2	Airlock	ISS08	True
3	CQ1	ISS00	False
3	CQ2	ISS01	False
3	CQ3	ISS02	False
3	CQ4	ISS03	False
3	CQ5	ISS04	False
3	CQ6	ISS05	False
3	CQ7	ISS06	False
3	Kibo	ISS07	True
3	Dragon	ISS08	True
3	Airlock	ISS09	True
4	CQ1	ISS00	False
4	CQ2	ISS01	False
4	CQ3	ISS02	False
4	CQ4	ISS03	False
4	CQ5	ISS04	False
4	CQ6	ISS05	False
4	CQ7	ISS06	False
4	Kibo	ISS08	True
4	Dragon	ISS09	True
4	Airlock	ISS07	True
5	CQ1	ISS00	False
5	CQ2	ISS01	False
5	CQ3	ISS02	False
5	CQ4	ISS03	False
5	CQ5	ISS04	False
5	CQ6	ISS05	False
5	CQ7	ISS06	False
5	Kibo	ISS09	True
5	Dragon	ISS07	True
5	Airlock	ISS08	True
6	CQ1	ISS00	False
6	CQ2	ISS01	False
6	CQ3	ISS02	False
6	CQ4	ISS03	False
6	CQ5	ISS04	False
6	CQ6	ISS05	False
6	CQ7	ISS06	False
6	Kibo	ISS07	True
6	Dragon	ISS08	True
6	Airlock	ISS09	True
7	CQ1	ISS00	False
7	CQ2	ISS01	False
7	CQ3	ISS02	False
7	CQ4	ISS03	False
7	CQ5	ISS04	False
7	CQ6	ISS05	False
7	CQ7	ISS06	False
7	Kibo	ISS08	True
7	Dragon	ISS09	True
7	Airlock	ISS07	True
8	CQ1	ISS00	False
8	CQ2	ISS01	False
8	CQ3	ISS02	False
8	CQ4	ISS03	False
8	CQ5	ISS04	False
8	CQ6	ISS05	False
8	CQ7	ISS06	False
8	Kibo	ISS09	True
8	Dragon	ISS07	True
8	Airlock	ISS08	True
9	CQ1	ISS00	False
9	CQ2	ISS01	False
9	CQ3	ISS02	False
9	CQ4	ISS03	False
9	CQ5	ISS04	False
9	CQ6	ISS05	False
9	CQ7	ISS06	False
9	Kibo	ISS07	True
9	Dragon	ISS08	True
9	Airlock	ISS09	True
10	CQ1	ISS00	False
10	CQ2	ISS01	False
10	CQ3	ISS02	False
10	CQ4	ISS03	False
10	CQ5	ISS04	False
10	CQ6	ISS05	False
10	CQ7	ISS06	False
10	Kibo	ISS08	True
10	Dragon	ISS09	True
10	Airlock	ISS07	True
11	CQ1	ISS00	False
11	CQ2	ISS01	False
11	CQ3	ISS02	False
11	CQ4	ISS03	False
11	CQ5	ISS04	False
11	CQ6	ISS05	False
11	CQ7	ISS06	False
11	Kibo	ISS09	True
11	Dragon	ISS07	True
11	Airlock	ISS08	True
12	CQ1	ISS00	False
12	CQ2	ISS01	False
12	CQ3	ISS02	False
12	CQ4	ISS03	False
12	CQ5	ISS04	False
12	CQ6	ISS05	False
12	CQ7	ISS06	False
12	Kibo	ISS07	True
12	Dragon	ISS08	True
12	Airlock	ISS09	True
13	CQ1	ISS00	False
13	CQ2	ISS01	False
13	CQ3	ISS02	False
13	CQ4	ISS03	False
13	CQ5	ISS04	False
13	CQ6	ISS05	False
13	CQ7	ISS06	False
13	Kibo	ISS08	True
13	Dragon	ISS09	True
13	Airlock	ISS07	True
14	CQ1	ISS00	False
14	CQ2	ISS01	False
14	CQ3	ISS02	False
14	CQ4	ISS03	False
14	CQ5	ISS04	False
14	CQ6	ISS05	False
14	CQ7	ISS06	False
14	Kibo	ISS09	True
14	Dragon	ISS07	True
14	Airlock	ISS08	True
15	CQ1	ISS00	False
15	CQ2	ISS01	False
15	CQ3	ISS02	False
15	CQ4	ISS03	False
15	CQ5	ISS04	False
15	CQ6	ISS05	False
15	CQ7	ISS06	False
15	Kibo	ISS07	True
15	Dragon	ISS08	True
15	Airlock	ISS09	True
16	CQ1	ISS00	False
16	CQ2	ISS01	False
16	CQ3	ISS02	False
16	CQ4	ISS03	False
16	CQ5	ISS04	False
16	CQ6	ISS05	False
16	CQ7	ISS06	False
16	Kibo	ISS08	True
16	Dragon	ISS09	True
16	Airlock	ISS07	True
17	CQ1	ISS00	False
17	CQ2	ISS01	False
17	CQ3	ISS02	False
17	CQ4	ISS03	False
17	CQ5	ISS04	False
17	CQ6	ISS05	False
17	CQ7	ISS06	False
17	Kibo	ISS09	True
17	Dragon	ISS07	True
17	Airlock	ISS08	True
18	CQ1	ISS00	False
18	CQ2	ISS01	False
18	CQ3	ISS02	False
